mineral name,chemistry,Ca,Fe,Mg,Fe_mol_frac,Ca_mol_frac,a,b,c,beta,V,space group,citation,notes
Augite,(Ca0.10Mg1.52Fe0.38)Si2O6,0.1,0.38,1.52,0.2,0.05,9.652,8.872,5.206,108.55,422.6,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 20
Augite,(Ca0.20Mg1.44Fe0.36)Si2O6,0.2,0.36,1.44,0.2,0.1,9.655,8.876,5.201,108.46,422.8,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 20
Augite,(Ca0.30Mg0.425Fe1.275)Si2O6,0.3,1.275,0.425,0.75,0.15,9.744,9.021,5.256,108.06,439.2,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 75
Augite,(Ca0.30Mg0.255Fe1.445)Si2O6,0.3,1.445,0.255,0.85,0.15,9.746,9.055,5.255,107.7,441.8,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 85
Augite,(Ca0.40Mg1.28Fe0.32)Si2O6,0.4,0.32,1.28,0.2,0.2,9.718,8.902,5.239,107.85,431.4,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 20
Augite,(Ca0.40Mg0.80Fe0.80)Si2O6,0.4,0.8,0.8,0.5,0.2,9.727,8.942,5.255,108.1,434.4,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 50
Augite,(Ca0.40Mg0.64Fe0.96)Si2O6,0.4,0.96,0.64,0.6,0.2,9.731,8.984,5.258,107.82,437.6,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 60
Augite,(Ca0.40Mg0.48Fe1.12)Si2O6,0.4,1.12,0.48,0.7,0.2,9.74,8.998,5.251,107.77,438.2,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 70
Augite,(Ca0.40Mg0.40Fe1.20)Si2O6,0.4,1.2,0.4,0.75,0.2,9.749,9.018,5.247,107.4,440,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 75
Augite,(Ca0.50Mg0.375Fe1.125)Si2O6,0.5,1.125,0.375,0.75,0.25,9.771,9.019,5.244,106.65,442.7,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 75
Augite,(Ca0.50Mg0.225Fe1.275)Si2O6,0.5,1.275,0.225,0.85,0.25,9.772,9.038,5.245,106.75,443.4,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 85
Diopside,Ca.59 Mg1.41 Si2 O6,0.59,0,1.41,0,0.295,9.711,8.8935,5.2452,107.278,432.559,C2/c,The Canadian Mineralogist 43 (2005) 1411-1421,
Augite,(Ca0.60Mg1.12Fe0.28)Si2O6,0.6,0.28,1.12,0.2,0.3,9.734,8.921,5.244,106.73,436.1,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 20
Augite,(Ca0.60Mg0.98Fe0.42)Si2O6,0.6,0.42,0.98,0.3,0.3,9.745,8.939,5.244,106.69,437.6,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 30
Augite,(Ca0.60Mg0.70Fe0.70)Si2O6,0.6,0.7,0.7,0.5,0.3,9.741,8.953,5.248,106.67,438.5,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 50
Augite,(Ca0.60Mg0.56Fe0.84)Si2O6,0.6,0.84,0.56,0.6,0.3,9.752,8.981,5.249,106.63,440.5,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 60
Augite,(Ca0.60Mg0.35Fe1.05)Si2O6,0.6,1.05,0.35,0.75,0.3,9.767,9.015,5.242,106.44,442.7,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 75
Diopside,Ca.7 Mg1.3 Si2 O6,0.7,0,1.3,0,0.35,9.7264,8.9133,5.2485,106.742,435.728,C2/c,The Canadian Mineralogist 43 (2005) 1411-1421,
Augite,(Ca0.70Mg0.325Fe0.975)Si2O6,0.7,0.975,0.325,0.75,0.35,9.791,9.001,5.242,106.02,444,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 75
Augite,(Ca0.70Mg0.195Fe1.105)Si2O6,0.7,1.105,0.195,0.85,0.35,9.8,9.03,5.244,105.92,446.3,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 85
Augite,(Ca0.70Fe1.30)Si2O6,0.7,1.3,0,1,0.35,9.8095,9.05,5.238,105.61,447.9,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 100
Diopside,Ca.8 Mg1.2 Si2 O6,0.8,0,1.2,0,0.4,9.7323,8.9152,5.2464,106.357,436.782,C2/c,The Canadian Mineralogist 43 (2005) 1411-1421,Locality: synthetic
Augite,(Ca0.80Mg0.96Fe0.24)Si2O6,0.8,0.24,0.96,0.2,0.4,9.745,8.935,5.246,106.23,438.6,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 20
Augite,(Ca0.80Mg0.84Fe0.36)Si2O6,0.8,0.36,0.84,0.3,0.4,9.757,8.943,5.246,106.05,439.9,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 30
Augite,(Ca0.80Mg0.60Fe0.60)Si2O6,0.8,0.6,0.6,0.5,0.4,9.767,8.956,5.249,105.97,441.4,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 50
Augite,(Ca0.80Mg0.48Fe0.72)Si2O6,0.8,0.72,0.48,0.6,0.4,9.781,8.982,5.244,105.87,443.2,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 60
Augite,(Ca0.80Mg0.30Fe0.90)Si2O6,0.8,0.9,0.3,0.75,0.4,9.797,9.002,5.243,105.7,445.2,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 75
Augite,(Ca0.80Fe1.20)Si2O6,0.8,1.2,0,1,0.4,9.821,9.042,5.242,105.38,448.8,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 100
Diopside,(Ca0.892Mg1.108)Si2O6,0.892,0,1.108,0,0.446,9.739,8.919,5.25,106.15,438.2,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 0
Hedenbergite,(Ca0.90Fe0.825Mg0.275)Si2O6,0.9,0.825,0.275,0.75,0.45,9.814,9.002,5.249,105.46,447,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 75
,,1,0,1,0,0.5,9.7501875,8.927,5.250125,105.846125,439.588125,C2/c,multi,
Diopside,(CaMg0.921Fe0.079)Si2O6,1,0.079,0.921,0.079,0.5,9.772,8.934,5.253,105.76,441.32,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 159
Diopside,CaMg_0.9116_Fe_0.0884_Si_2_O_6_,1,0.0884,0.9116,0.0884,0.5,9.759,8.934,5.254,105.77,440.86,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic
,,1,0.079,0.921,0.079,0.5,9.771,8.936,5.245,105.71,440.875,C2/c,multi,
Diopside,(Ca1.00Mg0.90Fe0.10)Si2O6,1,0.1,0.9,0.1,0.5,9.762,8.936,5.249,105.75,441,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 10
Diopside,(CaMg0.941Fe0.059)Si2O6,1,0.059,0.941,0.059,0.5,9.757,8.937,5.245,105.82,440.05,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 191
Diopside,CaMg_0.8209_Fe_0.1791_Si_2_O_6_,1,0.1791,0.8209,0.1791,0.5,9.765,8.941,5.25,105.68,441.32,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic
Diopside,(CaMg0.861Fe0.139)Si2O6,1,0.139,0.861,0.139,0.5,9.77,8.943,5.252,105.69,441.75,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 190
,,1,0.204,0.796,0.204,0.5,9.772333333,8.945,5.251666667,105.65,442.0366667,C2/c,multi,
Diopside,(Ca1Mg0.80Fe0.20)Si2O6,1,0.2,0.8,0.2,0.5,9.771,8.947,5.25,105.68,442,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 20
Diopside,(Mg.82 Fe.18) Ca Si2 O6,1,0.18,0.82,0.18,0.5,9.7634,8.9488,5.2504,105.726,441.56,C2/c,The Canadian Mineralogist 28 (1990) 93-109,D2 (synthetic)
Diopside,(CaMg0.717Fe0.283)Si2O6,1,0.283,0.717,0.283,0.5,9.782,8.952,5.255,105.6,443.23,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 161
Diopside,(Mg.74 Fe.26) Ca Si2 O6,1,0.26,0.74,0.26,0.5,9.773,8.9523,5.2524,105.676,442.444,C2/c,The Canadian Mineralogist 28 (1990) 93-109,D3 (synthetic)
Diopside,CaMg_0.7278_Fe_0.2722_Si_2_O_6_,1,0.2722,0.7278,0.2722,0.5,9.78,8.954,5.253,105.59,443.08,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic
Diopside,(Ca1Mg0.70Fe0.30)Si2O6,1,0.3,0.7,0.3,0.5,9.7755,8.955,5.251,105.67,443.1,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 30
Augite,(CaMg0.589Fe0.411)Si2O6,1,0.411,0.589,0.411,0.5,9.789,8.96,5.251,105.49,443.85,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 163
Diopside,(CaMg0.717Fe0.283)Si2O6,1,0.283,0.717,0.283,0.5,9.782,8.96,5.243,105.59,442.66,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 123
Diopside,CaMg_0.6321_Fe_0.3679_Si_2_O_6_,1,0.3679,0.6321,0.3679,0.5,9.793,8.962,5.254,105.5,444.28,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic
,,1,0.411,0.589,0.411,0.5,9.794,8.9645,5.253,105.475,444.47,C2/c,multi,
Diopside,CaMg_0.5339_Fe_0.4661_Si_2_O_6_,1,0.4661,0.5339,0.4661,0.5,9.804,8.971,5.253,105.46,445.3,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic
Diopside,(Ca1.00Mg0.50Fe0.50)Si2O6,1,0.5,0.5,0.5,0.5,9.7955,8.9725,5.252,105.49,445.4,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 50
,,1,0.523,0.477,0.523,0.5,9.8015,8.975,5.251,105.43,445.305,C2/c,multi,
,,1,0.5,0.5,0.5,0.5,9.795,8.979,5.235,105.5,445.34,C2/c,The Canadian Mineralogist 28 (1990) 93-109,D5 (synthetic)
Hedenbergite,(Ca1.00Fe0.60Mg0.40)Si2O6,1,0.6,0.4,0.6,0.5,9.813,8.982,5.251,105.32,445.5,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 60
Hedenbergite,CaFe_0.5670_Mg_0.4330_Si_2_O_6_,1,0.567,0.433,0.567,0.5,9.809,8.985,5.249,105.28,446.33,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic
,,1,0.682,0.318,0.682,0.5,9.816,8.989,5.2525,105.085,447.51,C2/c,multi,
Hedenbergite,(Ca1.00Fe0.70Mg0.30)Si2O6,1,0.7,0.3,0.7,0.5,9.821,8.992,5.251,105.18,447.6,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 70
