Fe,Mg,a,b,c,V,citation,notes,d_130,,,,
2,0,4.819,10.47,6.086,307.1,American Mineralogist 54 (1969) 741-753,Synthesized at 2 kbar,2.826592311,,,,
2,0,4.815,10.49,6.085,307.3,American Mineralogist 54 (1969) 741-753,Synthesized at 500 bar,2.829319713,,,,
2,0,4.8195,10.4788,6.0873,307.42,"Fujino, K.;Sasaki, S.;Takeuchi, Y.;Sadanaga, R. (1981) X-ray determination of electron distributions in forsterite, fayalite and tephroite, Acta Crystallographica B, 37, 513-518",synthetic,2.828251076,,,,
2,0,4.8195,10.4788,6.0873,307.424,Acta Crystallographica B37 (1981) 513-518,Locality: synthetic,2.828251076,,,,
2,0,4.8211,10.4779,6.0889,307.58,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.828414996,,,,
2,0,4.821,10.478,6.092,307.7,American Mineralogist 67 (1982) 1212-1217,"Synthetic, sample 17",2.828412506,,,,
1.8,0.2,4.8169,10.4512,6.0783,306,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.822837487,,,,
1.6,0.4,4.81,10.419,6.068,304.08,American Mineralogist 54 (1969) 741-753,Synthesized at 500 bar,2.81573592,,,,
1.6,0.4,4.813,10.417,6.067,304.18,American Mineralogist 54 (1969) 741-753,Synthesized at 2 kbar,2.815981821,,,,
1.6,0.4,4.8111,10.4213,6.0684,304.26,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.816365157,,,,
1.5,0.5,4.8074,10.4063,6.0618,303.25,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.812957886,,,,
1.4,0.6,4.8043,10.3923,6.0577,302.45,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.809847685,,,,
1.2,0.8,4.797,10.358,6.048,300.5,American Mineralogist 54 (1969) 741-753,Synthesized at 2 kbar,2.802282553,,,,
1.2,0.8,4.798,10.367,6.047,300.8,American Mineralogist 54 (1969) 741-753,Synthesized at 500 bar,2.804085454,,,,
1.2,0.8,4.7986,10.3665,6.0482,300.87,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.804116146,,,,
1.18,0.82,4.7974,10.3635,6.0463,300.61,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.803342302,,,,
1,1,4.7929,10.3412,6.038,299.27,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.798470586,,,,
0.98,1.02,4.7901,10.3305,6.0343,298.6,Physics and Chemistry of Minerals 19 (1993) 431-444,"Synthetic, un-heated. T0",2.796004621,,,,
0.95,1.05,4.786,10.332,6.032,298.2,American Mineralogist 67 (1982) 1206-1211,"Synthetic at 1000 C, sample H13",2.795455949,,,,
0.85,1.15,4.7871,10.3181,6.0297,297.83,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.79319503,,,,
0.8,1.2,4.784,10.308,6.024,297.09,American Mineralogist 54 (1969) 741-753,Synthesized at 500 bar,2.790775813,,,,
0.8,1.2,4.7849,10.3101,6.0263,297.29,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.79132955,,,,
0.7,1.3,4.7818,10.2972,6.0223,296.53,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.78840981,,,,
0.6,1.4,4.7779,10.2831,6.0161,295.58,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.785116355,,,,
0.45,1.55,4.7733,10.2676,6.0112,294.611,European Journal of Mineralogy 19 (2007) 15-27,"Locality: Saar-Nahe basin, Germany",2.781433345,,,,
0.4,1.6,4.7698,10.2531,6.003,293.58,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.778146179,,,,
0.4,1.6,4.769,10.261,6.006,293.9,American Mineralogist 54 (1969) 741-753,Synthesized at 500 bar,2.779401675,,,,
0.37,1.63,4.7687,10.2491,6.0023,293.36,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.777212659,,,,
0.33,1.67,4.7673,10.2488,6.003,293.301,R060539,Locality: Sri Lanka,2.776882336,,,,
0.27,1.73,4.7655,10.2351,5.997,292.5,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.774073198,,,,
0.23,1.77,4.7645,10.23467,5.99727,292.45,"Heuer, M. (2001) The determination of site occupancies using a new strategy in Rietveld refinements, Journal of applied crystallography, 34, 271-279",Rietveld,2.773798864,,,,
0.2,1.8,4.762,10.225,5.994,291.857,American Mineralogist 53 (1968) 807-824,,2.771572901,,,,
0.19,1.81,4.7641,10.2269,5.9952,292.098,Physics and Chemistry of Minerals 14 (1987) 368-372,"Locality: sample from San Carlos, Arizona",2.772327422,,,,
0.18,1.82,4.7611,10.2207,5.99,291.49,Physics and Chemistry of Minerals 19 (1993) 431-444,"Synthetic, un-heated. C0",2.770624685,,,,
0.18,1.82,4.7615,10.2248,5.9932,291.781,R060551,"Locality: Kohiston, Pakistan",2.771438468,,,,
0.16,1.84,4.7579,10.2151,5.989,291.08,American Mineralogist 86 (2001) 55-65,,2.768990088,,,,
0.12,1.88,4.759,10.2145,5.988,291.08,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.76909928,,,,
0.1,1.9,4.758,10.2115,5.9865,290.86,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.76836434,,,,
0.09,1.91,4.7584,10.2099,5.9863,290.83,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.768156152,,,,
0.08,1.92,4.7578,10.2085,5.9857,290.72,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.767786909,,,,
0.06,1.94,4.7571,10.2053,5.9831,290.47,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.767075084,,,,
0.04,1.96,4.7563,10.2026,5.9842,290.39,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.766433245,,,,
0.02,1.98,4.7555,10.1999,5.9816,290.14,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.765791389,,,,
0,1.997,4.7552,10.1985,5.9822,290.112,American Mineralogist 94 (2009) 751-760,Locality: synthetic,2.765481153,,,,
0,2,4.7534,10.1902,5.9783,289.577,Acta Crystallographica B37 (1981) 513-518,Locality: synthetic,2.763637473,,,,
0,2,4.753,10.191,5.982,289.755,American Mineralogist 70 (1985) 568-575,Synthetic,2.76370246,,,,
0,2,4.753,10.196,5.979,289.76,American Mineralogist 54 (1969) 741-753,Synthesized at 500 bar,2.76459974,,,,
0,2,4.754,10.1971,5.9806,289.92,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.764993868,,,,
0,2,4.7549,10.1985,5.9792,289.9484347,American Mineralogist 72 (1987) 965-972,,2.765422139,,,,
0,2,4.755,10.196,5.9809,289.97,"van der Wal, R.J.;Vos, A.;Kirfel, A. (1987) Conflicting results for the deformation properties of Forsterite, Mg2SiO4, Acta Crystallographica B, 43, 132-143", ,2.764993147,,,,
0,2,4.7534,10.1989,5.9813,289.97,"Lager, G.A.;Ross, F.K.;Rotella, F.J.;Jorgensen, J.D. (1981) Neutron powder diffraction of Forsterite, Mg2 Si O4: a comparison", ,2.76519871,,,,
0,2,4.751,10.203,5.983,290.023,Geokhimiya 7 (1984) 1047-1055,Synthetic,2.765460909,,,,
0,2,4.7558,10.1965,5.9817,290.068,R040052,"Locality: Synthetic, Czochralski method",2.765240175,,,,
0,2,4.7545,10.2,5.9814,290.08,Mineralogical Magazine 36 (1968) 1123-1134,synthetic,2.765612558,,,,
0,2,4.7553,10.1977,5.982,290.09,Geochemical Journal 2 (1968) 51-59,Synthetic sample Mg8,2.765357253,,,,
0,2,4.757,10.197,5.982,290.17,"van der Wal, R.J.;Vos, A.;Kirfel, A. (1987) Conflicting results for the deformation properties of Forsterite, Mg2SiO4, Acta Crystallographica B, 43, 132-143", ,2.765565781,,,,
