Ca,Na,K,a,b,c,alpha,beta,gamma,V
0,0.997,0.003,8.141,12.786,7.159,94.25,116.59,87.69,664.516
0,0.986,0,8.142,12.785,7.159,94.19,116.61,87.68,664.477
0,1,0,8.142,12.785,7.159,94.19,116.61,87.68,664.477
0,1,0,8.137,12.785,7.1583,94.26,116.6,87.71,664.008
0,1,0,8.1372,12.787,7.1574,94.245,116.605,87.809,664.037
0,1,0,8.133,12.773,7.159,94.23,116.64,87.72,662.918
0,1,0,8.1409,12.789,7.1598,94.265,116.589,87.679,664.73
0.005,0.983,0.012,8.141,12.785,7.159,94.26,116.59,87.69,664.456
0.007,0.991,0.002,8.139,12.782,7.157,94.29,116.6,87.69,663.869
0.01,0.99,0,8.135,12.784,7.1594,94.271,116.594,87.717,663.922
0.01,0.99,0,8.1365,12.788,7.1584,94.228,116.583,87.704,664.257
0.017,0.977,0.006,8.139,12.785,7.158,94.2,116.61,87.76,664.139
0.02,0.98,0,8.14588,12.7973,7.15775,94.2451,116.6,87.8,665.342
0.111,0.875,0.014,8.148,12.798,7.156,94.2,116.57,87.85,665.604
0.13,0.865,0.005,8.149,12.804,7.142,94.07,116.52,88.45,665.094
0.165,0.828,0.007,8.151,12.814,7.138,94.01,116.5,88.63,665.556
0.172,0.822,0.006,8.154,12.826,7.137,93.94,116.48,88.74,666.494
0.176,0.815,0.009,8.153,12.824,7.134,93.95,116.46,88.84,666.122
0.179,0.816,0.005,8.155,12.834,7.13,93.88,116.45,89.07,666.509
0.179,0.821,0,8.154,12.823,7.139,94.06,116.5,88.59,666.322
0.185,0.806,0.009,8.158,12.831,7.137,93.94,116.45,88.8,667.247
0.202,0.759,0.039,8.162,12.827,7.137,93.88,116.46,88.85,667.353
0.21,0.781,0.009,8.161,12.836,7.131,93.89,116.45,89.01,667.2
0.215,0.773,0.012,8.153,12.83,7.134,93.9,116.43,88.94,666.635
0.239,0.758,0.003,8.154,12.847,7.12,93.79,116.42,89.45,666.328
0.253,0.737,0.01,8.159,12.843,7.127,93.8,116.41,89.28,667.279
0.256,0.734,0.01,8.158,12.837,7.124,93.8,116.4,89.26,666.667
0.277,0.723,0,8.169,12.851,7.124,93.63,116.4,89.46,668.391
0.28,0.712,0.008,8.163,12.853,7.124,93.71,116.36,89.38,668.188
0.353,0.643,0.004,8.161,12.859,7.116,93.66,116.3,89.71,667.878
0.374,0.584,0.042,8.171,12.862,7.119,93.59,116.3,89.68,669.206
0.432,0.564,0.004,8.167,12.856,7.113,93.6,116.27,89.71,668.158
0.437,0.55,0.013,8.172,12.865,7.116,93.6,116.27,89.66,669.334
0.478,0.52,0.002,8.166,12.851,7.113,93.61,116.26,89.64,667.888
0.537,0.455,0.008,8.169,12.862,7.108,93.58,116.22,89.81,668.436
0.538,0.452,0.01,8.173,12.855,7.11,93.58,116.23,89.79,668.537
0.543,0.447,0.01,8.172,12.861,7.107,93.52,116.22,90.03,668.506
0.581,0.407,0.012,8.18,12.87,7.109,93.52,116.2,90.04,669.928
0.598,0.4,0.002,8.173,12.862,7.107,93.56,116.19,89.98,668.797
0.634,0.366,0,8.1747,12.8706,7.1014,93.461,116.086,90.514,669.3023253
0.65,0.32,0,8.1736,12.8736,7.1022,93.462,116.054,90.475,669.647
0.65,0.35,0,8.1747,12.8706,7.1014,93.461,116.086,90.514,669.302
0.687,0.311,0.002,8.175,12.865,7.102,93.5,116.14,90.31,668.846
0.69,0.303,0.007,8.179,12.869,7.102,93.49,116.16,90.36,669.251
0.731,0.263,0.006,8.181,12.87,7.099,93.41,116.1,90.55,669.509
0.77,0.227,0.003,8.18,12.869,7.096,93.38,116.13,90.63,668.905
0.8,0.198,0.002,8.179,12.868,7.093,93.34,116.08,90.8,668.719
0.819,0.181,0,8.181,12.871,7.096,93.34,116.1,90.79,669.212
0.931,0.069,0,8.179,12.873,7.09,93.21,115.97,91.11,669.261
