Mineral	Al	Fe	a
Magnetite	0.03	2.69	8.3628
Magnetite	0.04	2.84	8.3844
Magnetite	0.05	2.85	8.3887
multi	0.05	2.82	8.3847
Magnetite	0.05	2.67	8.3612
Magnetite	0.07	2.82	8.3877
Magnetite	0.07	2.76	8.3742
Magnetite	0.08	2.84	8.391
Magnetite	0.08	2.81	8.3833
Magnetite	0.1	2.74	8.3732
Magnetite	0.11	2.78	8.3795
Magnetite	0.12	2.77	8.3842
Magnetite	0.12	2.72	8.3794
Magnetite	0.12	2.61	8.355
Magnetite	0.15	2.75	8.3904
Magnetite	0.16	2.72	8.3776
Magnetite	0.16	2.69	8.3717
Magnetite	0.18	2.63	8.3581
Magnetite	0.18	2.57	8.3471
Magnetite	0.19	2.69	8.379
Magnetite	0.19	2.66	8.3728
Magnetite	0.21	2.6	8.3562
Magnetite	0.21	2.51	8.3278
Magnetite	0.22	2.57	8.3493
Magnetite	0.23	2.63	8.3651
Magnetite	0.23	2.58	8.3588
Magnetite	0.24	2.59	8.3496
Magnetite	0.25	2.58	8.3546
Magnetite	0.26	2.56	8.3481
Magnetite	0.26	2.51	8.3406
Magnetite	0.27	2.43	8.326
Magnetite	0.29	2.46	8.3369
Magnetite	0.35	2.41	8.3409
Magnetite	0.36	2.41	8.3395
Magnetite	0.37	2.33	8.3174
