Mineral,Fe,Ti,a
Magnetite,2.904,0.096,8.4067
Magnetite,2.902,0.098,8.4095
Magnetite,2.814,0.186,8.4145
Magnetite,2.758,0.242,8.425
Magnetite,2.646,0.354,8.4348
Magnetite,2.538,0.462,8.4569
Ulvospinel,2,1,8.5297
Ulvospinel,2.169,0.831,8.5131
Ulvospinel,2.266,0.734,8.4969
Ulvospinel,2.376,0.624,8.4802
Ulvospinel,2.449,0.551,8.4632
Ulvospinel,2.356,0.644,8.4875
Ulvospinel,2.287,0.713,8.4972
Ulvospinel,2.31,0.69,8.4975
Ulvospinel,2.248,0.752,8.5052
Ulvospinel,2.247,0.751,8.5059
Ulvospinel,2.244,0.756,8.5079
Ulvospinel,2.2,0.8,8.5139
Ulvospinel,2.155,0.845,8.522
Ulvospinel,2.092,0.908,8.5274
Ulvospinel,2.07,0.93,8.5307
Ulvospinel,2.055,0.945,8.5322
Ulvospinel,2.134,0.866,8.5139
Ulvospinel,2.111,0.889,8.5139
Ulvospinel,2,1,8.5439
