Ca,Fe,Mg,a,b,c,V,reference
0,2,0,18.417,9.073,5.239,875.423,Physics and Chemistry of Minerals 24 (1997) 301-310
0,2,0,18.418,9.078,5.2366,875.552,American Mineralogist 61 (1976) 38-53
0,2,0,18.431,9.08,5.238,876.7,American Mineralogist 56 (1973) 50-59
0.04,1.96,0,18.453,9.081,5.241,878.2,American Mineralogist 56 (1973) 50-59
0.08,1.92,0,18.473,9.076,5.242,878.9,American Mineralogist 56 (1973) 50-59
0,1.8,0.2,18.402,9.053,5.233,871.7,American Mineralogist 56 (1973) 50-59
0.04,1.71,0.25,18.405,9.0338,5.239,871.073,American Mineralogist 56 (1971) 850-876
0,1.6,0.4,18.37,9.011,5.245,868.2,American Mineralogist 56 (1973) 50-59
0.1,1.43,0.48,18.417,9.03,5.233,870.2,American Mineralogist 56 (1973) 50-59
0,1.5,0.5,18.362,9,5.234,864.9,American Mineralogist 56 (1973) 50-59
0.032,1.331,0.636,18.337,8.971,5.232,860.67,American Mineralogist 58 (1973) 636-648
0.1,1.14,0.76,18.365,8.963,5.229,860.8,American Mineralogist 56 (1973) 50-59
0,1.2,0.8,18.321,8.958,5.219,856.6,American Mineralogist 56 (1973) 50-59
0.08,0.96,0.96,18.35,8.936,5.234,858.2,American Mineralogist 56 (1973) 50-59
0,1,1,18.31,8.931,5.219,853.5,American Mineralogist 56 (1973) 50-59
0.043,0.807,1.15,18.316,8.907,5.218,851.268,American Mineralogist 80 (1995) 923-929
0.043,0.802,1.155,18.32,8.917,5.219,852.573,American Mineralogist 80 (1995) 923-929
0,0.82,1.18,18.2974,8.904,5.2092,848.683,Physics and Chemistry of Minerals 24 (1997) 301-310
0,0.8,1.2,18.289,8.911,5.208,848.8,American Mineralogist 56 (1973) 50-59
0.1,0.57,1.33,18.293,8.879,5.207,845.8,American Mineralogist 56 (1973) 50-59
0,0.48,1.52,18.2747,8.8729,5.1988,842.983,American Mineralogist 80 (1995) 9-20
0.1,0.38,1.52,18.257,8.858,5.195,840.2,American Mineralogist 56 (1973) 50-59
0,0.4,1.6,18.251,8.847,5.195,838.8,American Mineralogist 56 (1973) 50-59
0,0.3,1.68,18.2566,8.8467,5.1917,838.515,R040093
0,0.3,1.68,18.2462,8.8429,5.1902,837.435,R040094
0,0.28,1.72,18.2539,8.8441,5.192,838.193,R070418
0,0.2,1.8,18.24,8.8359,5.189,836.295,R050644
0,0.2,1.8,18.2496,8.8369,5.1914,837.217,R070550
0,0.2,1.8,18.235,8.841,5.187,836.3,American Mineralogist 56 (1973) 50-59
0.07,0,1.93,18.2588,8.8229,5.1899,836.07,American Mineralogist 91 (2006) 809-815
0.07,0,1.93,18.268,8.836,5.196,838.718,European Journal of Mineralogy 15 (2003) 365-371
0.052,0,1.948,18.28,8.834,5.197,839.24,American Mineralogist 73 (1988) 1255-1263
0.04,0,1.96,18.262,8.826,5.192,836.849,European Journal of Mineralogy 15 (2003) 365-371
0.02,0,1.98,18.235,8.815,5.175,831.8,American Mineralogist 56 (1973) 50-59
0,0,2,18.21,8.812,5.178,830.896,Zeitschrift fur Kristallographie 129 (1969) 65-83
0,0,2,18.216,8.813,5.179,831.424,The Canadian Mineralogist 15 (1977) 321-338
0,0,2,18.225,8.8128,5.18,831.977,Physics and Chemistry of Minerals 10 (1984) 217-229
0,0,2,18.233,8.8191,5.1802,832.969,American Mineralogist 79 (1994) 405-410
0,0,2,18.225,8.818,5.178,832.146,"American Mineralogist, 71, (1986) 111-122"
0,0,2,18.223,8.818,5.179,832.216,"American Mineralogist, 71, (1986) 111-122"
0,0,2,18.223,8.815,5.169,830.4,American Mineralogist 56 (1973) 50-59
