Fe,Mg,a,b,c,V,citation,notes,d_130,,,,
2,0,4.819183333,10.47891667,6.08775,307.4206667,multi,,,,,,
1.8,0.2,4.8169,10.4512,6.0783,306,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.822837487,,,,
1.6,0.4,4.811366667,10.4191,6.0678,304.1733333,multi,,,,,,
1.5,0.5,4.8074,10.4063,6.0618,303.25,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.812957886,,,,
1.4,0.6,4.8043,10.3923,6.0577,302.45,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.809847685,,,,
1.2,0.8,4.797866667,10.36383333,6.047733333,300.7233333,multi,,,,,,
1.18,0.82,4.7974,10.3635,6.0463,300.61,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.803342302,,,,
1,1,4.7929,10.3412,6.038,299.27,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.798470586,,,,
0.98,1.02,4.7901,10.3305,6.0343,298.6,Physics and Chemistry of Minerals 19 (1993) 431-444,"Synthetic, un-heated. T0",2.796004621,,,,
0.95,1.05,4.786,10.332,6.032,298.2,American Mineralogist 67 (1982) 1206-1211,"Synthetic at 1000 C, sample H13",2.795455949,,,,
0.85,1.15,4.7871,10.3181,6.0297,297.83,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.79319503,,,,
0.8,1.2,4.78445,10.30905,6.02515,297.19,multi,,,,,,
0.7,1.3,4.7818,10.2972,6.0223,296.53,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.78840981,,,,
0.6,1.4,4.7779,10.2831,6.0161,295.58,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.785116355,,,,
0.45,1.55,4.7733,10.2676,6.0112,294.611,European Journal of Mineralogy 19 (2007) 15-27,"Locality: Saar-Nahe basin, Germany",2.781433345,,,,
0.4,1.6,4.7694,10.25705,6.0045,293.74,multi,,,,,,
0.37,1.63,4.7687,10.2491,6.0023,293.36,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.777212659,,,,
0.33,1.67,4.7673,10.2488,6.003,293.301,R060539,Locality: Sri Lanka,2.776882336,,,,
0.27,1.73,4.7655,10.2351,5.997,292.5,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.774073198,,,,
0.23,1.77,4.7645,10.23467,5.99727,292.45,"Heuer, M. (2001) The determination of site occupancies using a new strategy in Rietveld refinements, Journal of applied crystallography, 34, 271-279",Rietveld,2.773798864,,,,
0.2,1.8,4.762,10.225,5.994,291.857,American Mineralogist 53 (1968) 807-824,,2.771572901,,,,
0.19,1.81,4.7641,10.2269,5.9952,292.098,Physics and Chemistry of Minerals 14 (1987) 368-372,"Locality: sample from San Carlos, Arizona",2.772327422,,,,
0.18,1.82,4.7613,10.22275,5.9916,291.6355,multi,,,,,,
0.16,1.84,4.7579,10.2151,5.989,291.08,American Mineralogist 86 (2001) 55-65,,2.768990088,,,,
0.12,1.88,4.759,10.2145,5.988,291.08,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.76909928,,,,
0.1,1.9,4.758,10.2115,5.9865,290.86,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.76836434,,,,
0.09,1.91,4.7584,10.2099,5.9863,290.83,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.768156152,,,,
0.08,1.92,4.7578,10.2085,5.9857,290.72,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.767786909,,,,
0.06,1.94,4.7571,10.2053,5.9831,290.47,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.767075084,,,,
0.04,1.96,4.7563,10.2026,5.9842,290.39,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.766433245,,,,
0.02,1.98,4.7555,10.1999,5.9816,290.14,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215",Synthetic,2.765791389,,,,
0,1.997,4.7552,10.1985,5.9822,290.112,American Mineralogist 94 (2009) 751-760,Locality: synthetic,2.765481153,,,,
0,2,4.75428375,10.19895063,5.9814675,290.0352147,multi,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
