mineral name,chemistry,Mg,Fe,Ca,Fe_mol_frac,Ca_mol_frac,a,b,c,beta,V,space group,citation,notes
Clinoferrosilite,Fe2Si2O6,0,2,0,1,0,9.709,9.087,5.228,108.43,437.6,American Mineralogist 58 (1973) 50-59,P21/c,
Clinoferrosilite,(Fe1.90Ca0.10)Si2O6,0,1.9,0.1,1,0.05,9.724,9.092,5.226,108.14,439.1,American Mineralogist 58 (1973) 50-59,P21/c,
Clinoferrosilite,(Fe1.80Ca0.20)Si2O6,0,1.8,0.2,1,0.1,9.745,9.083,5.225,107.3,441.5,American Mineralogist 58 (1973) 50-59,P21/c,
Clinoferrosilite,Si2 Fe1.7 Ca.3 O6,0,1.7,0.3,1,0.15,9.779,9.088,5.258,107.39,445.928,American Mineralogist 60 (1975) 423-434,P21/c,
Clinoferrosilite,Fe2 Si2 O6,0,2,0,1,0,9.7075,9.0807,5.2347,108.46,437.7,American Mineralogist 79 (1994) 1032-1041,P21/c,
Pigeonite,(Fe1.60Ca0.40)Si2O6,0,1.6,0.4,1,0.2,9.765,9.081,5.231,106.69,444.3,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 100,20"
Pigeonite,(Fe1.50Ca0.50)Si2O6,0,1.5,0.5,1,0.25,9.781,9.072,5.232,106.3,445.6,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 100,25"
clinoferrosilite,(Fe1.80Mg0.20)Si2O6,0.2,1.8,0,0.9,0,9.7011,9.0491,5.2321,108.556,435.43,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
Pigeonite,(Mg0.27Fe1.53Ca0.20)Si2O6,0.27,1.53,0.2,0.85,0.1,9.74,9.046,5.259,108.2,440.2,American Mineralogist 58 (1973) 50-59,P21/c,
clinoferrosilite,(Fe1.60Mg0.40)Si2O6,0.4,1.6,0,0.8,0,9.6913,9.0171,5.2263,108.598,432.87,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
clinoferrosilite,(Fe1.60Mg0.40)Si2O6,0.4,1.6,0,0.8,0,9.6931,9.0199,5.2264,108.59,433.1,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
Pigeonite,(Mg0.45Fe1.35Ca0.20)Si2O6,0.45,1.35,0.2,0.75,0.1,9.732,9.015,5.258,108.38,437.7,American Mineralogist 58 (1973) 50-59,P21/c,
clinoferrosilite,(Fe1.42Mg0.58)Si2O6,0.58,1.42,0,0.71,0,9.6856,8.9964,5.2218,108.605,431.22,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
clinoferrosilite,(Fe1.39Mg0.61)Si2O6,0.61,1.39,0,0.695,0,9.6868,8.9936,5.2218,108.611,431.13,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
clinoferrosilite,(Fe1.38Mg0.62)Si2O6,0.62,1.38,0,0.69,0,9.6837,8.9905,5.2202,108.604,430.73,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
,,0.64,1.36,0,0.68,0,9.6846,8.9898,5.2209,108.627,430.73,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
clinoferrosilite,(Fe1.29Mg0.71)Si2O6,0.71,1.29,0,0.645,0,9.6761,8.9664,5.2171,108.623,428.93,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
Pigeonite,(Mg0.72Fe1.08Ca0.20)Si2O6,0.72,1.08,0.2,0.6,0.1,9.712,8.978,5.244,108.49,433.7,American Mineralogist 58 (1973) 50-59,P21/c,
Clinoferrosilite,(Fe1.14Ca0.10Mg0.76)Si2O6,0.76,1.14,0.1,0.6,0.05,9.684,8.958,5.227,108.62,429.7,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 60,5"
Pigeonite,Mg.78 Fe1.04 Ca.18 Si2 O6,0.78,1.04,0.18,0.571428571,0.09,9.706,8.95,5.246,108.59,431.936,American Mineralogist 55 (1970) 1195-1209,P21/c,
Clinoferrosilite,(Fe1.20Mg0.80)Si2O6,0.8,1.2,0,0.6,0,9.667,8.961,5.216,108.69,428,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 60,0"
,,0.81,1.19,0,0.595,0,9.6744,8.963,5.2157,108.63,428.57,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
Pigeonite,(Mg0.90Fe0.90Ca0.20)Si2O6,0.9,0.9,0.2,0.5,0.1,9.703,8.947,5.238,108.57,431.1,American Mineralogist 58 (1973) 50-59,P21/c,
Pigeonite,(Mg0.92Fe0.92Ca0.16)Si2O6,0.92,0.92,0.16,0.5,0.08,9.689,8.93,5.232,108.53,429.2,American Mineralogist 58 (1973) 50-59,P21/c,
Pigeonite,(Mg0.95Fe0.95Ca0.10)Si2O6,0.95,0.95,0.1,0.5,0.05,9.662,8.931,5.218,108.71,426.5,American Mineralogist 58 (1973) 50-59,P21/c,
Pigeonite,(Mg1.12Fe0.48Ca0.40)Si2O6,1.12,0.48,0.4,0.3,0.2,9.707,8.919,5.249,108.22,431.6,American Mineralogist 58 (1973) 50-59,P21/c,
Clinoenstatite,(Mg1.20Fe0.80)Si2O6,1.2,0.8,0,0.4,0,9.649,8.9,5.199,108.59,423.2,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 40,0"
Clinoenstatite,(Mg1.212Ca0.788)Si2O6,1.212,0,0.788,0,0.394,9.731,8.916,5.25,106.39,436.5,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 0,39.4"
Pigeonite,(Mg1.22 Fe0.78) Si O6,1.22,0.78,0,0.39,0,9.6519,8.9075,5.2004,108.59,423.773,Physics and Chemistry of Minerals 25 (1998) 249-258,P21/c,
clinoenstatite,(Mg1.23Fe0.77)Si2O6,1.23,0.77,0,0.385,0,9.6519,8.9075,5.2004,108.59,423.77,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
Pigeonite,(Mg1.26Fe0.54Ca0.20)Si2O6,1.26,0.54,0.2,0.3,0.1,9.684,8.907,5.227,108.51,427.6,American Mineralogist 58 (1973) 50-59,P21/c,
Pigeonite,(Mg1.28Fe0.56Ca0.16)Si2O6,1.28,0.56,0.16,0.304347826,0.08,9.692,8.917,5.239,108.55,429.25,American Journal of Science 251 (1953) 741-752,P21/c,
Clinoenstatite,(Mg1.314Ca0.686)Si2O6,1.314,0,0.686,0,0.343,9.723,8.908,5.25,106.78,435,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 0,34.3"
Clinoenstatite,(Mg1.33Ca0.10Fe0.57)Si2O6,1.33,0.57,0.1,0.3,0.05,9.662,8.893,5.21,108.61,424.2,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 30,5"
Clinoenstatite,(Mg1.40Fe0.60)Si2O6,1.4,0.6,0,0.3,0,9.645,8.878,5.193,108.58,421.4,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 30,0"
